Number;Volcano Name;Country;Region;Latitude;Longitude;Elev;Type;Status;Last Known
0601-12=;Sorikmarapi;Indonesia;Sumatra;0.686;99.539;2145;Stratovolcano;Historical;D1
0604-12=;Sukaria Caldera;Indonesia;Lesser Sunda Is;-8.792;121.77;1500;Caldera;Fumarolic;U
0601-18=;Sumbing;Indonesia;Sumatra;-2.414;101.728;2507;Stratovolcano;Historical;D2
0603-22=;Sumbing;Indonesia;Java;-7.38;110.058;3371;Stratovolcano;Historical;D4
0603-21=;Sundoro;Indonesia;Java;-7.3;109.992;3136;Stratovolcano;Historical;D1
0601-27=;Suoh;Indonesia;Sumatra;-5.25;104.27;1000;Maar;Historical;D2
0603-15=;Talagabodas;Indonesia;Java;-7.208;108.07;2201;Stratovolcano;Fumarolic;U
0601-13=;Talakmau;Indonesia;Sumatra;0.079;99.98;2919;Complex volcano;Holocene;U
0601-16=;Talang;Indonesia;Sumatra;-0.978;100.679;2597;Stratovolcano;Historical;D1
0604-04=;Tambora;Indonesia;Lesser Sunda Is;-8.25;118;2850;Stratovolcano;Historical;D1
0603-131;Tampomas;Indonesia;Java;-6.77;107.95;1684;Stratovolcano;Holocene;U
0601-15=;Tandikat;Indonesia;Sumatra;-0.433;100.317;2438;Stratovolcano;Historical;D2
0603-09=;Tangkubanparahu;Indonesia;Java;-6.77;107.6;2084;Stratovolcano;Historical;D1
0608-001;Tarakan;Indonesia;Halmahera-Indonesia;1.78;127.792;318;Pyroclastic cone;Holocene;U
0603-231;Telomoyo;Indonesia;Java;-7.37;110.4;1894;Stratovolcano;Holocene;U
0603-31=;Tengger Caldera;Indonesia;Java;-7.942;112.95;2329;Stratovolcano;Historical;D1
0608-061;Tidore;Indonesia;Halmahera-Indonesia;0.65;127.4;1730;Stratovolcano;Holocene;U
0608-071;Tigalalu;Indonesia;Halmahera-Indonesia;0.07;127.42;422;Unknown;Holocene;U
0601-09=;Toba;Indonesia;Sumatra;2.58;98.83;2157;Caldera;Holocene;U
0608-02-;Tobaru;Indonesia;Halmahera-Indonesia;1.625;127.675;1035;Unknown;Holocene;U
0608-05=;Todoko-Ranu;Indonesia;Halmahera-Indonesia;1.22;127.43;979;Caldera;Holocene;U
0606-07-;Tondano Caldera;Indonesia;Sulawesi-Indonesia;1.23;124.83;1202;Caldera;Fumarolic;U
0606-13=;Tongkoko;Indonesia;Sulawesi-Indonesia;1.52;125.2;1149;Stratovolcano;Historical;D3
0603-23=;Ungaran;Indonesia;Java;-7.18;110.33;2050;Stratovolcano;Holocene;U
0607-05=;Unnamed;Indonesia;Sangihe Is-Indonesia;3.97;124.17;-5000;Submarine volcano;Uncertain;Unknown
0604-06=;Wai Sano;Indonesia;Lesser Sunda Is;-8.68;120.025;903;Caldera;Holocene;U
0603-08=;Wayang-Windu;Indonesia;Java;-7.208;107.63;2182;Lava dome;Fumarolic;U
0603-27=;Wilis;Indonesia;Java;-7.808;111.758;2563;Stratovolcano;Holocene;U
0605-04=;Wurlali;Indonesia;Banda Sea;-7.125;128.675;868;Stratovolcano;Historical;D3
0604-28=;Yersey;Indonesia;Lesser Sunda Is;-7.53;123.95;-3800;Submarine volcano;Uncertain;Unknown
